stream_file,ra_min,ra_max,dec_min,dec_max
gaia_mock_streams/stream-178.fits.gz,300,350,-10,50
gaia_mock_streams/stream-9528.fits.gz,200,350,-70,-30
gaia_mock_streams/stream-9549.fits.gz,200,250,-20,40
gaia_mock_streams/stream-1954.fits.gz,30,220,-90,-20
gaia_mock_streams/stream-2408.fits.gz,180,250,-50,-20
gaia_mock_streams/stream-4468.fits.gz,200,240,20,60
gaia_mock_streams/stream-4682.fits.gz,190,260,-80,-60
gaia_mock_streams/stream-5402.fits.gz,250,320,-90,20
gaia_mock_streams/stream-3649.fits.gz,150,185,-20,90
gaia_mock_streams/stream-5185.fits.gz,0,70,-90,90
